Language,6,
,,
NormalText,,
"inscription_desc_4801|s6diceability_desc_51301_1","CritX +0.4x","+0.4x Krit. Multiplikator"
"inscription_desc_4802","Magazine Capacity +60%.","+60% Magazinkapazität."
"inscription_desc_4803","RoF +25%.","+25% Feuerrate"
"inscription_desc_4804","Accuracy +80%, Stability +80%","+80% Genauigkeit, +80% Stabilität"
"inscription_desc_4806","-40% Reload Time","-40% Nachladedauer."
"inscription_desc_4807","+50% total Weapon DMG against enemies in Burning Effect.","+50% Waffenschaden gegen Gegner mit Verbrennungseffekt."
"inscription_desc_4808","+50% total Weapon DMG against enemies in Decay Effect.","+50% Waffenschaden gegen Gegner mit Korrosionseffekt."
"inscription_desc_4809","+50% total Weapon DMG against enemies in Shock Effect.","+50% Waffenschaden gegen Gegner mit Schockeffekt."
"inscription_desc_4812","30% chance to recover 50% ammo to the magazine when you kill an enemy.","30% Chance, 50% Munition zurückzuerhalten, wenn du einen Gegner tötest."
"inscription_desc_4815","There's a 25% chance to kill a normal enemy instantly on a crit hit.","Zu 25% wird ein normaler Gegner durch einen kritischen Treffer sofort getötet."
"inscription_desc_4816","Piercing +1, Projectile Speed +100%.","+1 Durchdringung, +100% Projektilgeschwindigkeit."
"inscription_desc_4818","+80% Weapon DMG for the 2 shots after reloading.","+80% Waffenschaden für die ersten 2 Schüsse nach dem Nachladen."
"inscription_desc_4819","+100% Magazine Capacity, +30% Reload Time","+100% Magazinkapazität, +30% Nachladedauer."
"inscription_desc_4820","+65% total weapon DMG against enemies in Elemental Effect.","+65% Schaden gegen Gegner mit Elementareffekt."
"inscription_desc_4821","+100% Elemental Effect Chance of this weapon.","+100% Chance den Elementareffekt dieser Waffe auszulösen."
"inscription_desc_4822","50% chance to cause an explosion that deals Corrosion DMG when killing an enemy.","50% Chance auf eine Explosion aus Korrosionsschaden, wenn ein Gegner getötet wird."
"inscription_desc_4824","+40% base weapon DMG, -50% Accuracy.","+40% Basis-Waffenschaden, -50% Genauigkeit."
"inscription_desc_4825","CritX +1.2x, RoF -10%.","+1.2x Krit. Multiplikator, -10% Feuerrate."
"inscription_desc_4827","+40% total weapon DMG against elites and bosses.","+40% Waffenschaden gegen Elitegegner und Bosse."
"inscription_desc_4828","+50% Elemental Effect Chance on Crit Hit","+50% Elementareffektchance bei kritischen Treffern"
"inscription_desc_4829","50% chance to fill magazine instantly when killing an enemy","50% Chance das Magazin sofort zu füllen, wenn du einen Gegner tötest"
"inscription_desc_4830","+3.0x CritX to the first shot after reload","+3,0x Krit. Multiplikator für den ersten Schuss nach dem Nachladen"
"inscription_desc_4832","DMG type converts into Fire DMG.","Die Schadensart wird in Feuerschaden umgewandelt."
"inscription_desc_4833","DMG type converts into Corrosion DMG.","Die Schadensart wird in Korrosionsschaden umgewandelt."
"inscription_desc_4834","DMG type converts into Lightning DMG.","Die Schadensart wird in Blitzschaden umgewandelt."
"inscription_desc_4835","+10% weapon DMG upon hitting an enemy. (Up to +200%, resets on a miss.)","+10% Waffen-Basisschaden, wenn du einen Gegner triffst. (max. +200%, wird bei einem Fehltreffer zurückgesetzt)"
"inscription_desc_4836","Weapon auto-reloaded when unequipped.","Ist die Waffe nicht angewählt, wird sie automatisch nachgeladen"
"inscription_desc_4838","(Gemini) Weapon 1&2 combine their CritX bonus but -50% Stability","(Zwilling) Beide Waffen kombinieren ihren Krit. Multiplikator, haben jedoch -50% Stabilität"
"inscription_desc_4839","(Gemini) Weapon 1 & 2 share their elemental advantages and there's a chance to apply the elemental effect from the other weapon.","(Zwilling) Beide Waffen teilen ihre Elementarvorteile und es besteht die Möglichkeit, den Elementareffekt der anderen Waffe auszulösen."
"inscription_desc_4842","(Gemini) Weapon 1&2 magazine capacity become the sum of both weapon's magazine capacity, and RoF +25%.","(Zwilling) Die Magazinkapazität beider Waffen wird zusammengelegt, +25% Feuerrate."
"inscription_desc_4843","+150% Lucky Shot chance for next two shots after 3 consecutive critical hits.","+150% Glückstrefferchance für die nächsten zwei Schüsse nach 3 aufeinanderfolgenden kritischen Treffern."
"inscription_desc_4845","Explosion AoE +2m, Lucky Shot Chance +15%.","+2m Explosionsradius, +15% Glücksschusschance."
"inscription_desc_4846|state_desc_32050_1|talent_briefdesc_2035_1|inscription_desc_13038|talent_briefdesc_3315_1|state_desc_32812_1|talent_briefdesc_5428_1|state_desc_33774_1","Lucky Shot Chance +20%","+20% Glücksschusschance"
"inscription_desc_4847","Lucky Shot Chance +50%, Stability -50%.","+50% Glücksschusschance, -50% Stabilität."
"inscription_desc_4848","+20% chance to gain one more projectile.","+20% Chance, ein weiteres Projektil zu erhalten."
"inscription_desc_4849","Projectiles +1, Consumption +100%","+1 Projektil, +100% Munitionserbrauch"
"inscription_desc_4851","When the magazine is more than 50% full, RoF +50%, and +20% chance to gain one more projectile.","Ist das Magazin zu mehr als 50% gefüllt, +50% Feuerrate und +20% Chance, ein weiteres Projektil zu erhalten."
"inscription_desc_4852","-55% Reload Time when ammo in the magazine is less than 50%.","-55% Nachladezeit, wenn sich weniger als 50% Munition im Magazin befindet."
"inscription_desc_4853","When using the scope +150% weapon stability, otherwise +60% Accuracy.","Wenn das Visier genutzt wird +150% Stabilität, ansonsten +60% Genauigkeit."
"inscription_desc_4856","+50% RoF for 5s after killing an enemy.","+50% Feuerrate für 5 Sekunden nach dem Töten eines Gegners."
"inscription_desc_4857","-20% Explosion AoE, +40% RoF and -40% Reload Time","-20% Explosionsradius, +40% Feuerrate und -40% Nachladedauer."
"inscription_desc_4858","+10% Lucky Shot Chance for every 10% ammo consumed in the total magazine capacity(Up to 100%, resets on reload or weapon switch).","+10 % Glücksschusschance für jeweils 10 % verbrauchte Munition des Magazins (Max. 100 %, wird nach dem Nachladen oder Waffenwechsel zurückgesetzt)."
"inscription_desc_4859","When reloading right after defeating an enemy, -50% Reload Time and retain the remaining ammo as additional magazine capacity. The more remaining ammo, the higher the base weapon damage.","Beim Nachladen direkt nach dem Besiegen eines Gegners: -50% Nachladezeit und die verbleibende Munition wird als zusätzliche Magazinkapazität beibehalten. Je mehr verbleibende Munition, desto höher der Grundwaffenschaden."
